,seconds,distance,speed,acceleration,power,powerd,altitude,longitude,latitude,slope,apower
0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,11.265506,43.787474,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0,0.0,59.0,11.265508,43.787483,0.0,0.0
2,2.0,0.0,0.0,0.0,0.0,0.0,59.0,11.265522,43.787478,0.0,0.0
3,3.0,0.0,0.0,0.0,3.60008e-13,3.60008e-13,59.0,11.26553,43.787488,0.0,3.6116710603199223e-13
4,4.0,0.0,0.0,0.0,3.60008e-13,0.0,59.0,11.26553,43.787488,0.0,3.6116710603199223e-13
5,5.0,0.0,0.0,0.0,3.60008e-13,0.0,59.0,11.265529,43.78749,0.0,3.6116710603199223e-13
6,6.0,0.0,0.0,0.0,3.60008e-13,0.0,59.0,11.265529,43.787492,0.0,3.6116710603199223e-13
7,7.0,0.0,0.0,0.0,3.60008e-13,0.0,59.0,11.265529,43.787492,0.0,3.6116710603199223e-13
8,8.0,0.0,0.0,0.0,3.60008e-13,0.0,59.0,11.265529,43.787491,0.0,3.6116710603199223e-13
9,9.0,0.0,0.0,0.0,3.60008e-13,0.0,59.0,11.26553,43.787491,0.0,3.6116710603199223e-13
10,10.0,0.0,0.0,0.0,3.60008e-13,0.0,59.0,11.265527,43.787492,0.0,3.6116710603199223e-13
11,11.0,0.0,0.0,0.0,3.60008e-13,0.0,59.0,11.265527,43.787492,0.0,3.6116710603199223e-13
12,12.0,0.0,0.0,0.0,3.60008e-13,0.0,59.0,11.265527,43.787491,0.0,3.6116710603199223e-13
13,13.0,0.0,0.0,0.0,3.60008e-13,0.0,59.0,11.26553,43.787494,0.0,3.6116710603199223e-13
14,14.0,0.0053,3.24,0.9000000238418586,25.0966,25.09659999999964,59.0,11.265542,43.787514,0.0,25.17740270561347
15,15.0,0.0053,3.24,0.0,26.0282,0.9315999999999995,59.0,11.265542,43.787514,0.0,26.112002147790882
16,15.0,0.0053,3.24,0.0,26.9598,0.0,59.0,11.265542,43.787514,0.0,27.04660158996829
17,16.0,0.0107,7.56,1.2000000317891446,5.15103,0.0,59.0,11.265582,43.787552,0.0,5.167614603519847
18,17.0,0.0107,7.56,0.0,7.17391,2.02288,59.0,11.265582,43.787552,0.0,7.1970076043698175
19,18.0,0.0121,8.64,0.30000000794728643,31.4212,24.24729,59.0,11.265596,43.787561,0.0,31.52236581423866
20,19.0,0.0136,8.28,-0.10000000264909573,28.1333,0.0,59.0,11.265609,43.78757,0.0,28.223879869696912
21,20.0,0.0185,7.92,-0.10000000264909524,25.1789,0.0,59.0,11.265653,43.787601,0.0,25.25996768424293
22,21.0,0.0185,7.92,0.0,3.18961,0.0,59.0,11.265653,43.787601,0.0,3.199879483430098
23,22.0,0.0185,5.76,-0.6000000158945724,3.18961,0.0,59.0,11.265667,43.78762,0.0,3.199879483430098
24,23.0,0.0259,9.0,0.9000000238418586,74.2887,71.09909,59.0,11.265671,43.787666,0.0,74.52788490777667
25,24.0,0.0259,9.0,0.0,75.0731,0.7843999999999909,59.0,11.265671,43.787666,0.0,75.31481041490842
26,25.0,0.0259,7.56,-0.4000000105963817,75.0731,0.0,59.0,11.26566,43.78768,0.0,75.31481041490842
27,26.0,0.0309,9.0,0.4000000105963817,37.7815,0.0,59.0,11.265622,43.787694,0.0,37.903143864991094
28,27.0,0.0309,9.0,0.0,37.7815,0.0,59.0,11.265622,43.787694,0.0,37.903143864991094
29,28.0,0.0309,7.56,-0.4000000105963817,37.7815,0.0,59.0,11.265592,43.787702,0.0,37.903143864991094
30,29.0,0.0396,9.72,0.6000000158945726,58.7344,20.9529,59.2,11.265527,43.78773,0.229885,58.92413449433788
31,30.0,0.0396,9.72,0.0,63.0526,4.318199999999997,59.2,11.265527,43.78773,0.45977,63.25628392590523
32,31.0,0.0429,10.08,0.10000000264909524,82.7014,19.64880000000001,59.3,11.26549,43.787744,0.7628,82.96900001409502
33,32.0,0.0511,14.4,1.2000000317891448,51.9628,0.0,59.6,11.265398,43.787775,1.12865,52.13177286532494
34,33.0,0.0511,14.4,0.0,71.7476,19.784800000000004,59.6,11.265398,43.787775,1.49451,71.98090916640729
35,34.0,0.0549,11.16,-0.9000000238418586,52.0987,0.0,59.8,11.265351,43.787784,2.02082,52.268672749418485
36,35.0,0.0549,11.16,0.0,57.7035,5.604799999999997,59.8,11.265351,43.787784,2.54714,57.89175848909991
37,36.0,0.0549,8.64,-0.7000000185436677,29.6264,0.0,59.8,11.265347,43.78779,3.07346,29.723056551187877
38,37.0,0.0549,7.2,-0.4000000105963817,30.0733,0.4468999999999994,59.8,11.265348,43.787791,3.59977,30.17141456879129
39,38.0,0.0549,2.88,-1.2000000317891448,0.446902,0.0,59.8,11.26535,43.787791,4.12609,0.44836002412844506
40,39.0,0.0549,2.16,-0.20000000529819073,5.40873,4.961828000000001,59.8,11.26535,43.787798,4.42252,5.4263760585189695
41,40.0,0.0549,0.0,-0.6000000158945724,4.96183,0.0,59.9,11.265365,43.787808,4.71895,4.978044608468083
42,41.0,0.0549,0.0,0.0,4.96183,0.0,59.9,11.265365,43.787808,4.94223,4.978044608468083
43,42.0,0.0586,2.52,0.7000000185436678,25.4822,20.52037,60.0,11.265381,43.78781,4.84665,25.565608914558574
44,43.0,0.0586,2.52,0.0,36.146,10.663800000000002,60.0,11.265394,43.787817,4.75107,36.264313906398755
45,44.0,0.0624,5.4,0.8000000211927633,93.9005,57.75449999999999,60.1,11.265427,43.787814,4.48791,94.20835996324229
46,45.0,0.06318,5.22,-0.05000000132454786,86.8414,0.0,60.13,11.2654295,43.7878072,4.34621,87.12625563686639
47,46.0,0.06396,5.04,-0.05000000132454762,93.3512,6.509800000000013,60.16,11.265432,43.7878004,4.20451,93.65755889330305
48,47.0,0.06474,4.86,-0.05000000132454762,51.5655,0.0,60.19,11.2654345,43.7877936,4.06281,51.73480987831744
49,48.0,0.06552,4.68,-0.05000000132454786,47.9504,0.0,60.22,11.265437,43.7877868,3.92111,48.10791708581492
50,49.0,0.0663,4.5,-0.05000000132454762,44.4683,0.0,60.25,11.2654395,43.78778,3.77941,44.6144497991839
51,50.0,0.06708,4.32,-0.05000000132454762,41.119,0.0,60.28,11.265442,43.7877732,3.63771,41.25420800185765
52,51.0,0.06786,4.14,-0.05000000132454786,37.9024,0.0,60.31,11.2654445,43.7877664,3.49601,38.02709200494303
53,52.0,0.06864,3.96,-0.05000000132454762,35.6615,0.0,60.34,11.265447,43.7877596,3.61035,35.778877118491565
54,53.0,0.06942,3.78,-0.05000000132454774,34.3195,0.0,60.37,11.2654495,43.7877528,3.7247,34.4325151384985
55,54.0,0.0702,3.6,-0.05000000132454762,33.821,0.0,60.4,11.265452,43.787746,3.84615,33.93242787269104
56,55.0,0.0702,3.6,0.0,34.9548,1.1338000000000008,60.4,11.265452,43.787746,3.84615,35.06996333060351
57,55.0,0.0702,2.52,0.0,32.4465,0.0,60.4,11.265452,43.787746,3.84615,32.55339939597499
58,56.0,0.0747,3.6,0.3000000079472862,43.0672,10.6207,60.6,11.265449,43.787786,3.90598,43.20955174799422
